Tate Modern,51.50759530000001,-0.0993564
Siena Cathedral,43.3177019,11.3289071
Basilica in Assisi,43.0749709,12.6054003
Great Smoky Mountains National Park,35.6117644,-83.4895449
Smithsonian National Museum of Natural History,38.8912662,-77.0260654
Zion National Park,37.2982022,-113.0263005
Mesa Verde National Park,37.2308729,-108.4618335
Þingvellir National Park,64.25585699999999,-21.1303621
"Trentino Dolomites, Italy",46.4102117,11.8440351
"Trolltunga, Norway",60.124167,6.74
The Nazca Lines,-14.739027,-75.130005
Salar De Uyuni (Bolivia),-20.1337772,-67.48913449999999
Dead Sea,31.5590287,35.4731895
Tian Tan Buddha,22.2539847,113.904984
Glacier Bay National Park,58.66580729999999,-136.9002147
Hawaii Volcanoes National Park,19.4193697,-155.2884969
Marrakech Bazaar,31.628715,-7.991444
Ephesus,37.9489313,27.3676408
"Great Blue Hole, Belize",17.3160476,-87.5351438
"Tigers Nest Monastery, Bhutan",27.4918934,89.3634957
"Gullfoss Waterfall, Iceland",64.3270716,-20.1199478
Halong Bay,20.9100512,107.1839024
Antelope Canyon,36.8619103,-111.3743302
